image_filename,image_size,year,month,day,hour,min,sec,lon,lat,gSpeed,heading
frame000067_1718605452.321849.png,"(1136, 986)",2024,6,17,6,24,11,5.442083358764648,43.227684020996094,1020.0,266.4911804199219
frame000072_1718605453.629599.png,"(1136, 986)",2024,6,17,6,24,13,5.442068576812744,43.22768783569336,971.0,276.9327392578125
frame000075_1718605454.461068.png,"(1136, 986)",2024,6,17,6,24,14,5.442056179046631,43.22768783569336,982.0,271.960693359375
frame000077_1718605454.999692.png,"(1136, 986)",2024,6,17,6,24,14,5.442053318023682,43.22768783569336,981.0,270.8096923828125
frame000082_1718605456.201882.png,"(1136, 986)",2024,6,17,6,24,15,5.442041397094727,43.22768783569336,981.0,268.0165100097656
frame000085_1718605456.964316.png,"(1136, 986)",2024,6,17,6,24,16,5.442028999328613,43.22768783569336,976.0,269.4960327148437
frame000089_1718605458.015999.png,"(1136, 986)",2024,6,17,6,24,17,5.442017078399658,43.22768783569336,969.0,268.00994873046875
frame000096_1718605459.840754.png,"(1136, 986)",2024,6,17,6,24,18,5.442004680633545,43.22768783569336,1036.0,269.07635498046875
frame000097_1718605460.091715.png,"(1136, 986)",2024,6,17,6,24,19,5.441991329193115,43.22768783569336,1126.0,273.8595275878906
frame000100_1718605460.860127.png,"(1136, 986)",2024,6,17,6,24,20,5.441974639892578,43.227684020996094,1117.0,263.84197998046875
frame000104_1718605461.883332.png,"(1136, 986)",2024,6,17,6,24,22,5.441955089569092,43.227684020996094,1046.0,270.6519470214844
frame000107_1718605462.898093.png,"(1136, 986)",2024,6,17,6,24,23,5.44194221496582,43.227684020996094,1044.0,272.592529296875
frame000113_1718605464.351269.png,"(1136, 986)",2024,6,17,6,24,24,5.441928863525391,43.227684020996094,1081.0,264.6769714355469
frame000114_1718605464.623961.png,"(1136, 986)",2024,6,17,6,24,24,5.441925525665283,43.227684020996094,1052.0,268.0187683105469
frame000120_1718605466.377431.png,"(1136, 986)",2024,6,17,6,24,25,5.4419121742248535,43.227684020996094,1096.0,269.5040588378906
frame000123_1718605467.152175.png,"(1136, 986)",2024,6,17,6,24,26,5.441895484924316,43.227684020996094,1107.0,260.1609802246094
frame000126_1718605467.879213.png,"(1136, 986)",2024,6,17,6,24,27,5.441884994506836,43.22768020629883,1214.0,257.6178894042969
frame000129_1718605468.655053.png,"(1136, 986)",2024,6,17,6,24,29,5.441859722137451,43.227684020996094,1180.0,273.5380859375
frame000138_1718605470.941459.png,"(1136, 986)",2024,6,17,6,24,29,5.441856384277344,43.227684020996094,1181.0,271.34429931640625
frame000153_1718605474.842480.png,"(1136, 986)",2024,6,17,6,24,32,5.441820621490479,43.2276725769043,1075.0,222.58859252929688
frame000158_1718605476.146630.png,"(1136, 986)",2024,6,17,6,24,36,5.441769599914551,43.2276725769043,1167.0,278.1912841796875
frame000162_1718605477.284995.png,"(1136, 986)",2024,6,17,6,24,36,5.441766262054443,43.2276725769043,1149.0,282.53973388671875
frame000165_1718605478.036946.png,"(1136, 986)",2024,6,17,6,24,38,5.441749572753906,43.227684020996094,1179.0,328.91033935546875
frame000170_1718605479.237647.png,"(1136, 986)",2024,6,17,6,24,38,5.441748142242432,43.22768783569336,1199.0,329.7295227050781
frame000172_1718605480.023107.png,"(1136, 986)",2024,6,17,6,24,40,5.4417405128479,43.22770309448242,1158.0,351.09893798828125
frame000177_1718605481.339111.png,"(1136, 986)",2024,6,17,6,24,41,5.441738605499268,43.22771453857422,1117.0,353.5686340332031
frame000180_1718605482.110394.png,"(1136, 986)",2024,6,17,6,24,41,5.441738605499268,43.22771835327149,1158.0,359.8602294921875
frame000186_1718605483.704546.png,"(1136, 986)",2024,6,17,6,24,42,5.441738605499268,43.227725982666016,1179.0,358.74444580078125
frame000188_1718605484.354325.png,"(1136, 986)",2024,6,17,6,24,44,5.44173526763916,43.22774505615234,1192.0,352.1808166503906
frame000192_1718605485.375329.png,"(1136, 986)",2024,6,17,6,24,44,5.441734790802002,43.22774887084961,1217.0,351.4881591796875
frame000195_1718605486.154605.png,"(1136, 986)",2024,6,17,6,24,46,5.441730499267578,43.22776794433594,1209.0,348.96435546875
frame000200_1718605487.404232.png,"(1136, 986)",2024,6,17,6,24,47,5.441727638244629,43.22777938842773,1104.0,350.8819885253906
frame000202_1718605487.947424.png,"(1136, 986)",2024,6,17,6,24,47,5.441727638244629,43.22777938842773,1106.0,356.35723876953125
frame000208_1718605489.387044.png,"(1136, 986)",2024,6,17,6,24,48,5.441733360290527,43.22779083251953,1116.0,20.171199798583984
frame000213_1718605490.849662.png,"(1136, 986)",2024,6,17,6,24,50,5.441717624664307,43.22780227661133,1105.0,290.1610717773437
frame000216_1718605491.720071.png,"(1136, 986)",2024,6,17,6,24,50,5.441714763641357,43.22780227661133,1121.0,294.4627685546875
frame000218_1718605492.244517.png,"(1136, 986)",2024,6,17,6,24,52,5.441703796386719,43.22781753540039,1007.0,347.5838317871094
frame000222_1718605493.384717.png,"(1136, 986)",2024,6,17,6,24,53,5.4417033195495605,43.22782516479492,1073.0,356.3052062988281
frame000225_1718605494.409633.png,"(1136, 986)",2024,6,17,6,24,53,5.441702842712402,43.22782897949219,1081.0,355.7300720214844
